NIF,Filial propietaria directa,Inmuebles,Matriz,Sede empresa matriz,Sociedad intermedia utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Fuente 6,Fuente 7,Fuente 8
B82055146,"COMPAÑIA EUROPEA DE ARRENDAMIENTOS URBANOS, S.L.",101,Ares Management Corporation,Estados Unidos,Iante Investments Socimi,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2019/12/12/pdfs/BORME-A-2019-237-28.pdf,https://civio.box.com/s/2kjbkbys11w115aqx2edz8phk36ijl2s,https://civio.box.com/s/7qqjbmn1yc3o5d7r50kdn5dr567smzs9,https://civio.box.com/s/yr183xzwbr6fbydv9bl6qvyhygh6ag4q,https://civio.box.com/s/uotdgk9d65yeq8m365bix2u91q4gx6y9,https://civio.box.com/s/11pbtb9l0izi1dq11vujt4jzo6g80z34,NA,NA
B82921727,"COMPAÑIA INMOBILIARIA FORNA , S.L. SOCIEDAD UNIPERSONAL",98,Compañía Inmobiliaria Forna,España,Compañía Inmobiliaria Forna,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
E87059069,"COMUNIDAD FRANCISCO DE ROJAS 5, C.B.",93,Comunidad Francisco de Rojas CB,España,Comunidad Francisco de Rojas CB,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
E78235025,COMUNIDAD HEREDITARIA QUEREDA HURTADO,50,Comunidad Hereditaria Quereda Hurtado,España,Comunidad Hereditaria Quereda Hurtado,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
A78342656,"COMUNIDADES GESTIONADAS, S.A.",53,ACS,España,ACS,España,Empresa privada,NA,Construcción,NA,https://www.grupocogesa.es/quienes-somos,NA,NA,NA,NA,NA,NA,NA
R2800007C,CONGREGACION DE APOSTOLICAS DEL CORAZON DE JESUS,89,Congregación de Apostólicas del Corazón de Jesús,España,Congregación de Apostólicas del Corazón de Jesús,España,Entidades religiosas,NA,Entidades religiosas,NA,NA,NA,NA,NA,NA,NA,NA,NA
B85655470,"CONSERTUM CONSULTORIA Y DESARROLLO INTEGRAL, S.L.",114,Gesurbe Project ,España,Gesurbe Project ,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2013/06/12/pdfs/BORME-A-2013-109-28.pdf,NA,NA,NA,NA,NA,NA,NA
B28454635,"CONSTRUCCIONES E INMUEBLES ESLAVA, S.L.",65,Construcciones e inmuebles Eslava SL,España,Construcciones e inmuebles Eslava SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B28358877,"CONSTRUCCIONES PAZ, S.L.",89,Construcciones Paz SL,España,Construcciones Paz SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28121309,CONSTRUCCIONES RESIDENCIALES Y SOCIALES,385,Construcciones residenciales y sociales,España,Construcciones residenciales y sociales,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2021/05/27/pdfs/BORME-A-2021-99-28.pdf,NA,NA,NA,NA,NA,NA,NA
B78583283,CONSTRUCCIONES Y PROMOCIONES CALVIN S.L.,69,Construcciones y Promociones Calvin SL,España,Construcciones y Promociones Calvin SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28014587,"CONSTRUCTORA CALPENSE, S.A.",94,Constructora Calpense SA,España,Constructora Calpense SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28276780,CONSTRUCTORA INMOBILIARIA COYMAR S.A.,51,Inversiones M J M Y C R I SL,España,Inversiones M J M Y C R I SL,España,Empresa privada,NA,Consultoría,NA,https://www.boe.es/borme/dias/2022/10/14/pdfs/BORME-A-2022-197-28.pdf,NA,NA,NA,NA,NA,NA,NA
A28483733,CONSUR S.A.,57,Aerem Sulcans SL,España,Aerem Sulcans SL,España,Empresa privada,NA,Entidades financieras,Compraventa de participaciones,https://www.boe.es/borme/dias/2019/03/13/pdfs/BORME-A-2019-50-41.pdf,NA,NA,NA,NA,NA,NA,NA
B88178694,CORAL HOMES S.L.U,157,Lone Star,Estados Unidos,LSF Pacific Holdings SARL,Luxemburgo,Soparfi,NA,Entidades financieras,Fondos de inversión,https://www.cnmv.es/AUDITA/2019/18294.pdf,https://www.coralh.com/wp-content/uploads/2021/02/Coral-Homes-Holdco_EINF-2018-web-compressed.pdf,https://www.boe.es/borme/dias/2019/01/04/pdfs/BORME-A-2019-3-28.pdf,https://www.boe.es/borme/dias/2019/01/04/pdfs/BORME-A-2019-3-28.pdf,https://civio.box.com/s/edgnab9n3rba67sks88anmwq9360rqux,https://civio.box.com/s/5bp1fkbgtnp9i40xprsava9cuqd6yc5d,NA,NA
F28582302,COVIBAR S. COOP. MADRID,277,Covibar,España,Covibar,España,Cooperativa,NA,Otros,NA,https://www.covibar.es/historia-de-la-cooperativa,NA,NA,NA,NA,NA,NA,NA
A28371292,CREDIFIMO S.A.,74,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2012/11/20/pdfs/BORME-A-2012-222-28.pdf,https://www.boe.es/borme/dias/2012/08/13/pdfs/BORME-A-2012-154-41.pdf,NA,NA,NA,NA,NA,NA
A63379135,"CRITERIA CAIXA, S.A.U.",331,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,NA,NA,NA,NA,NA,NA
B02826527,"CULVISA 1956, S.L.",102,Culvisa 1956 SL,España,Culvisa 1956 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B79192233,"CUTECO, S.L.",84,Cuteco SL,España,Cuteco SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B78839487,DACONE S.L.,52,Dacone SL,España,Dacone SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B82776956,"DAFAUCE, S.L",71,Dafauce SL,España,Dafauce SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B88253091,"DALANDIA INVESTMENTS, S.L.",326,Ares Management Corporation,Estados Unidos,Iante Investments Socimi,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2019/03/28/pdfs/BORME-A-2019-61-28.pdf,https://www.boe.es/borme/dias/2018/06/21/pdfs/BORME-A-2018-118-28.pdf,https://civio.box.com/s/2kjbkbys11w115aqx2edz8phk36ijl2s,https://civio.box.com/s/7qqjbmn1yc3o5d7r50kdn5dr567smzs9,https://civio.box.com/s/yr183xzwbr6fbydv9bl6qvyhygh6ag4q,https://civio.box.com/s/uotdgk9d65yeq8m365bix2u91q4gx6y9,https://civio.box.com/s/11pbtb9l0izi1dq11vujt4jzo6g80z34,NA
B79953949,DATEMA S.L.,67,Datema SL,España,Datema SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87996385,"DECOR II PROYECTOS INMOBILIARIOS, S.L.",60,Decor II Proyectos Inmobiliarios SL,España,Decor II Proyectos Inmobiliarios SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B86368289,"DESARROLLOS ANMAR Y MARAL, S.L.",50,Desarrollos Anmar y Maral SL,España,Desarrollos Anmar y Maral SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B85328714,DESARROLLOS AREA SUR S.L.U.,82,Promesenia SL,España,Promesenia SL,España,Empresa privada,NA,Inmobiliaria,NA,https://civio.box.com/s/57xxx5ia3qhiwi6j9ijxm8v39wc9mn8n,NA,NA,NA,NA,NA,NA,NA
A78001203,DEVELSA S.A.,55,Develsa SA,España,Develsa SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2816003D,DIRECCIÓN GENERAL DE LA GUARDIA CIVIL- SERVIC.ACUART.-ARRENDAMIENTOS,149,Guardia Civil,España,DIRECCIÓN GENERAL DE LA GUARDIA CIVIL- SERVIC.ACUART.-ARRENDAMIENTOS,España,Empresas públicas o administraciones,Administración central,Otros,Fuerzas de seguridad del Estado,NA,NA,NA,NA,NA,NA,NA,NA
A81036501,DIVARIAN PROPIEDAD S.A.,627,Cerberus,Estados Unidos,Promontoria Holding 208 BV,Países Bajos ,Empresa privada,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2021/11/12/pdfs/BORME-A-2021-217-28.pdf,https://www.boe.es/borme/dias/2018/02/07/pdfs/BORME-A-2018-27-28.pdf,https://www.bbva.com/es/bbva-vende-a-su-socio-cerberus-el-20-de-divarian/,NA,NA,NA,NA,NA
E81167793,"DOCTOR ESQUERDO 28, C.B.",51,Doctor Esquerdo 28 C.B.,España,Doctor Esquerdo 28 C.B.,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
B82033952,DOMUS CAPITAL S.L.,55,Domus Capital SL,España,Domus Capital SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B88055892,"DONTE SPV 2018, S.L.U.",79,Paradocs Partners,Luxemburgo,Alter Domus Participations SARL,Luxemburgo,Empresa privada,NA,Consultoría,NA,https://www.boe.es/borme/dias/2018/10/26/pdfs/BORME-A-2018-207-28.pdf,https://www.boe.es/borme/dias/2018/03/26/pdfs/BORME-A-2018-60-28.pdf,https://www.boe.es/borme/dias/2018/01/18/pdfs/BORME-A-2018-13-28.pdf,https://www.boe.es/borme/dias/2018/01/18/pdfs/BORME-A-2018-13-28.pdf,https://civio.box.com/s/h2as55w69c52e54el3ran84g3s8d5axz,https://civio.box.com/s/2su43cn0zq9i33llbnyu1p0n8mvotc7y,https://civio.box.com/s/m0qcnlgzcufktnukx1urh0bz28svtj0d,NA
A15139314,"DRAGADOS,S.A.",59,ACS,España,ACS,España,Empresa privada,NA,Construcción,NA,https://www.grupoacs.com/empresas-del-grupo-acs/,NA,NA,NA,NA,NA,NA,NA
B64129851,EAGLE EYE POZUELO S.L.U.,61,Homax Holdings Private Limited,Singapur,Eagle Eye Holdings (Luxembourg) SARL,Luxemburgo,Soparfi,NA,Entidades financieras,Compraventa de participaciones,https://www.boe.es/borme/dias/2015/08/04/pdfs/BORME-A-2015-146-08.pdf,https://www.boe.es/borme/dias/2015/07/16/pdfs/BORME-A-2015-133-28.pdf,https://civio.box.com/s/om6k3v9mo15mdzk8785d6ylrj9hbkdgh,NA,NA,NA,NA,NA
B86053311,"EBOLI RETAIL, S.L.U.",64,BOF II Cayman Realty Holdings,Islas Caiman,H.I.G. Capital,Luxemburgo,Soparfi,NA,Consultoría,NA,https://www.boe.es/borme/dias/2015/07/01/pdfs/BORME-A-2015-122-28.pdf,https://www.boe.es/borme/dias/2015/06/17/pdfs/BORME-A-2015-112-28.pdf,http://www.etat.lu/memorial/2015/C/Pdf/c2059128.pdf,NA,NA,NA,NA,NA
B28255016,EDIFICACIONES TIFAN SL,75,Edificaciones Tifan,España,Edificaciones Tifan,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B28207322,"EDIFICACIONES VALDEÓN, S.L.",63,Edificaciones Valdeón SL,España,Edificaciones Valdeón SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B78525136,"EDIFICIO MIÑO, S.L.",143,Edificio Miño,España,Edificio Miño,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87927471,"EDIFICIO VIRIATO 57, SL.",52,Edificio Viriato 57 SL,España,Edificio Viriato 57 SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2017/11/03/pdfs/BORME-A-2017-210-28.pdf,NA,NA,NA,NA,NA,NA,NA
B82703778,EDIFICIOS CLASICOS METROPOLITANOS S.L.,173,Edificios Clásicos Metropolitanos,España,Edificios Clásicos Metropolitanos,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A78623220,EDIFICIOS HERNANDO S.A.,76,Edificios Hernando SA,España,Edificios Hernando SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B85674109,"EL ARCE DE VILLALBA, S.L.U.",134,Grupo Ortiz,España,Grupo Ortiz Properties Socimi SA ,España,Socimi,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2009/05/04/pdfs/BORME-A-2009-82-28.pdf,https://backend.grupoortiz.com/wp-content/uploads/2022/03/Cuentas-Anuales-Consolidadas-2021.pdf,NA,NA,NA,NA,NA,NA
A82044173,EL ENCINAR DEL NORTE SAU,312,El Encinar del Norte SAU,España,El Encinar del Norte SAU,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B28360543,EL PARQUE INMOBILIARIO DE INVERSIONES S.L,335,El Parque Inmobiliario de Inversiones SL,España,El Parque Inmobiliario de Inversiones SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A87840112,"ELIX VINTAGE RESIDENCIAL SOCIMI, S.A.",84,Grupo Allianz,Alemania,Allianz Finance IX Luxembourg SA,Luxemburgo,Socimi,NA,Seguros,NA,https://www.bmegrowth.es/docs/documentos/OtraInfRelevante/2023/01/05356_OtraInfRelev_20230104.pdf,NA,NA,NA,NA,NA,NA,NA
A82818311,"EMPRESA MUNICIPAL DE LA VIVIENDA ALCOBENDAS, S.A.",398,Ayuntamiento de Alcobendas,España,"EMPRESA MUNICIPAL DE LA VIVIENDA ALCOBENDAS, S.A.",España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
A78123759,"EMPRESA MUNICIPAL DE LA VIVIENDA DE ALCALA DE HENARES, S.A.",115,Ayuntamiento de Alcalá de Henares,España,"EMPRESA MUNICIPAL DE LA VIVIENDA DE ALCALA DE HENARES, S.A.",España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
A80422421,EMPRESA MUNICIPAL DE LA VIVIENDA DE COSLADA S.A.,165,Ayuntamiento de Coslada,España,EMPRESA MUNICIPAL DE LA VIVIENDA DE COSLADA S.A.,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
A83846139,"EMPRESA MUNICIPAL DE LA VIVIENDA DE RIVAS VACIAMADRID, S.A.",1322,Ayuntamiento de Rivas,España,Empresa Municipal de la Vivienda de Revas Vaciamadrid SA,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
A80689821,"EMPRESA MUNICIPAL DE SUELO DE SAN FERNANDO DE HENARES,S.A.",162,Ayuntamiento de San Fernando de Henares,España,"EMPRESA MUNICIPAL DE SUELO DE SAN FERNANDO DE HENARES,S.A.",España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
A83126706,"EMPRESA MUNICIPAL DE SUELO Y VIVIENDA DE S.SEBASTIAN DE LOS REYES,SAU",220,Ayuntamiento de Sanse,España,"EMPRESA MUNICIPAL DE SUELO Y VIVIENDA DE S.SEBASTIAN DE LOS REYES,SAU",España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
A81783086,EMPRESA MUNICIPAL DEL SUELO Y DE LA VIVIENDA SOCIAL DE GETAFE S.A.,54,Ayuntamiento de Getafe,España,EMPRESA MUNICIPAL DEL SUELO Y DE LA VIVIENDA SOCIAL DE GETAFE S.A.,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
A81755191,EMPRESA MUNICIPAL DEL SUELO Y VIVIENDA DE BOADILLA DEL MONTE S.A.,52,Ayuntamiento de Boadilla,España,EMPRESA MUNICIPAL DEL SUELO Y VIVIENDA DE BOADILLA DEL MONTE S.A.,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28740314,EMPRESA MUNICIPAL VIVIENDA Y SUELO S.A. (DIRECCIÓN EC.-GESTIÓN COBRO),6897,Ayuntamiento de Madrid,España,Empresa Municipal Vivienda y Suelo,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28135614,EMPRESA NACIONAL MARCASA,62,Mercasa,España,Mercasa,España,Empresas públicas o administraciones,Administración central,Centros comerciales y mercados,NA,https://contrataciondelestado.es/wps/portal/!ut/p/b0/DcexDkBADADQT-oqEgMmk5Hr1lDSuOs1p87v87YHCCugUpWTXLJS_B92ZouiV2tcDoljVi_kpM6wAALKPhiE_DbT_NRNyt2BpdR_oO1QVg!!/,https://sepi.es/es/sectores/grupo-mercasa,NA,NA,NA,NA,NA,NA
A79508537,"EMSULE, S.A.",281,Ayuntamiento de Leganés,España,"EMSULE, S.A.",España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
A84193531,"ENTRECAMPOS CUATRO, SOCIMI, S.A.",99,Entrecampos Cuatro Socimi SA,España,Entrecampos Cuatro Socimi SA,España,Socimi,NA,Inmobiliaria,NA,https://entrecamposcuatro.com/participaciones-significativas-de-la-sociedad-al-31-12-2022/,NA,NA,NA,NA,NA,NA,NA
A87266359,"EREMUBUS INVESTMENTS, S.A.",466,SMT Europe Cooperatief UA,Países Bajos,SMT Europe Cooperatief UA,Países Bajos ,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2015/07/15/pdfs/BORME-A-2015-132-28.pdf,NA,NA,NA,NA,NA,NA,NA
B87062030,"ESCARO PATRIMONIAL, S.L.U.",60,Escaro Patrimonial SLU,España,Escaro Patrimonial SLU,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28008647,"ESPAÑA, S.A. COMPAÑÍA NACIONAL DE SEGUROS",473,España S.A. Compañía Nacional de Seguros,España,España S.A. Compañía Nacional de Seguros,España,Empresa privada,NA,Seguros,NA,NA,NA,NA,NA,NA,NA,NA,NA
B80526049,"EUROACTIVOS INMOBILIARIOS, S.L.",66,Euroactivos Inmobiliarios SL,España,Euroactivos Inmobiliarios SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28117786,EUROWILCOM S.A.,64,Eurowilcom SA,España,Eurowilcom SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A87417846,EXCEM CAPITAL PARTNERS SOCIEDAD DE INVERSION RESIDENCIAL,274,Grupo EXCEM,España,Grupo EXCEM,España,Socimi,NA,Otros,Cementera,https://www.boe.es/borme/dias/2018/05/08/pdfs/BORME-A-2018-87-28.pdf,https://www.boe.es/borme/dias/2016/10/03/pdfs/BORME-A-2016-189-28.pdf,https://www.boe.es/borme/dias/2016/09/20/pdfs/BORME-A-2016-180-28.pdf,https://www.boe.es/borme/dias/2016/02/04/pdfs/BORME-A-2016-23-28.pdf,https://excem.es/sobre-nosotros/,NA,NA,NA
B28260289,"EXPOMUEBLE,S.L.",64,Gm Cordeu Holding SL,España,Gm Cordeu Holding SL,España,Empresa privada,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2015/11/02/pdfs/BORME-A-2015-209-28.pdf,NA,NA,NA,NA,NA,NA,NA
A28509644,"FE SOCIEDAD INMOBILIARIA, S.A.",67,Fe Sociedad Inmobiliaria SA,España,Fe Sociedad Inmobiliaria SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A78850773,"FERGA 10, S.A.",68,Ferga 10 SA,España,Ferga 10 SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A78766904,"FERPRIM PROMOCIONES, S.A.",51,Ferprim Promociones SA,España,Ferprim Promociones SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B86677846,"FIDERE COMUNIDAD S.L.U.,",186,Blackstone,Estados Unidos,Spanish Residential (Reit) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.encajatualquiler.com/politica-de-privacidad/,http://www.fidere-socimi.com/wp-content/uploads/2021/05/3.Fidere-Patrimonio-SOCIMI-CCAA2020-consolidado.pdf,NA,NA,NA,NA,NA,NA
B86825759,"FIDERE GESTIÓN DE VIVIENDA 2, S.L.U.",517,Blackstone,Estados Unidos,Spanish Residential (Reit) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.encajatualquiler.com/politica-de-privacidad/,http://www.fidere-socimi.com/wp-content/uploads/2021/05/3.Fidere-Patrimonio-SOCIMI-CCAA2020-consolidado.pdf,NA,NA,NA,NA,NA,NA
B86735677,FIDERE GESTIÓN DE VIVIENDA S.L.U.,864,Blackstone,Estados Unidos,Spanish Residential (Reit) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.encajatualquiler.com/politica-de-privacidad/,https://www.boe.es/borme/dias/2016/12/07/pdfs/BORME-A-2016-232-28.pdf,http://www.fidere-socimi.com/wp-content/uploads/2021/05/3.Fidere-Patrimonio-SOCIMI-CCAA2020-consolidado.pdf,NA,NA,NA,NA,NA
B85643211,"FIDERE IP 2, S.L.U.",452,Blackstone,Estados Unidos,Spanish Residential (Reit) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.encajatualquiler.com/politica-de-privacidad/,http://www.fidere-socimi.com/wp-content/uploads/2021/05/3.Fidere-Patrimonio-SOCIMI-CCAA2020-consolidado.pdf,NA,NA,NA,NA,NA,NA
B85776896,"FIDERE IP 3, S.L.U.",522,Blackstone,Estados Unidos,Spanish Residential (Reit) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.encajatualquiler.com/politica-de-privacidad/,http://www.fidere-socimi.com/wp-content/uploads/2021/05/3.Fidere-Patrimonio-SOCIMI-CCAA2020-consolidado.pdf,http://www.fidere-socimi.com/wp-content/uploads/2016/01/Fidere-SOCIMI_Final_Version_English.pdf,NA,NA,NA,NA,NA
B54391255,"FIDERE IP 5, S.L.U.",501,Blackstone,Estados Unidos,Spanish Residential (Reit) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.encajatualquiler.com/politica-de-privacidad/,http://www.fidere-socimi.com/wp-content/uploads/2021/05/3.Fidere-Patrimonio-SOCIMI-CCAA2020-consolidado.pdf,NA,NA,NA,NA,NA,NA
B87731832,"FIDERE IP 6, S.L.",115,Blackstone,Estados Unidos,Spanish Residential (Reit) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.encajatualquiler.com/politica-de-privacidad/,NA,NA,NA,NA,NA,NA,NA
B19234186,"FIDERE IP, S.L.U.",244,Blackstone,Estados Unidos,Spanish Residential (Reit) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.encajatualquiler.com/politica-de-privacidad/,https://www.boe.es/borme/dias/2016/09/13/pdfs/BORME-A-2016-175-19.pdf,http://www.fidere-socimi.com/wp-content/uploads/2021/05/3.Fidere-Patrimonio-SOCIMI-CCAA2020-consolidado.pdf,NA,NA,NA,NA,NA
B87990040,"FIDERE PROJECTS, S.L.U.",120,Blackstone,Estados Unidos,Spanish Residential (Reit) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.encajatualquiler.com/politica-de-privacidad/,http://www.fidere-socimi.com/wp-content/uploads/2021/05/3.Fidere-Patrimonio-SOCIMI-CCAA2020-consolidado.pdf,NA,NA,NA,NA,NA,NA
B88003306,"FIDERE SCREEN, S.L.U.",537,Blackstone,Estados Unidos,Spanish Residential (Reit) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.encajatualquiler.com/politica-de-privacidad/,https://www.boe.es/borme/dias/2018/03/19/pdfs/BORME-A-2018-55-28.pdf,http://www.fidere-socimi.com/wp-content/uploads/2021/05/3.Fidere-Patrimonio-SOCIMI-CCAA2020-consolidado.pdf,NA,NA,NA,NA,NA
B87049276,"FIDERE VIVIENDA 2, S.L.",707,Blackstone,Estados Unidos,Spanish Residential (Reit) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.encajatualquiler.com/politica-de-privacidad/,http://www.fidere-socimi.com/wp-content/uploads/2021/05/3.Fidere-Patrimonio-SOCIMI-CCAA2020-consolidado.pdf,NA,NA,NA,NA,NA,NA
B86988508,"FIDERE VIVIENDA 3, S.L.",666,Blackstone,Estados Unidos,Spanish Residential (Reit) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.encajatualquiler.com/politica-de-privacidad/,http://www.fidere-socimi.com/wp-content/uploads/2021/05/3.Fidere-Patrimonio-SOCIMI-CCAA2020-consolidado.pdf,NA,NA,NA,NA,NA,NA
B86657590,FIDERE VIVIENDA S.L.U.,1458,Blackstone,Estados Unidos,Spanish Residential (Reit) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.encajatualquiler.com/politica-de-privacidad/,https://www.boe.es/borme/dias/2013/08/05/pdfs/BORME-A-2013-147-28.pdf,https://www.boe.es/borme/dias/2013/09/23/pdfs/BORME-A-2013-181-28.pdf,http://www.fidere-socimi.com/wp-content/uploads/2021/05/3.Fidere-Patrimonio-SOCIMI-CCAA2020-consolidado.pdf,NA,NA,NA,NA
B28210565,FIMJO S.L.,117,Fimjo SL,España,Fimjo SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B95495487,"FITENI RESIDENCIAL, S.L.",94,Fiteni SL,España,Fiteni SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2015/11/04/pdfs/BORME-A-2015-211-48.pdf,NA,NA,NA,NA,NA,NA,NA
B95495495,FITENI TERCIARIO S.L.,50,Fiteni SL,España,Fiteni SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2017/10/05/pdfs/BORME-A-2017-191-48.pdf,NA,NA,NA,NA,NA,NA,NA
B28367456,"FITENI, S.L.",96,Fiteni SL,España,Fiteni SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B86264546,"FLOREASCA, S.L.",97,Floreasca SL,España,Floreasca SL,España,Empresa privada,NA,Otros,Textil,https://www.boe.es/borme/dias/2011/08/01/pdfs/BORME-A-2011-145-28.pdf,https://www.boe.es/borme/dias/2013/08/01/pdfs/BORME-A-2013-145-28.pdf,NA,NA,NA,NA,NA,NA
B86015559,"FOMENTO DE INMUEBLES LASA, SL",60,Filasa,España,Filasa,España,Empresa privada,NA,Inmobiliaria,NA,https://www.filasa.es/aviso-legal/,NA,NA,NA,NA,NA,NA,NA
