nr,commission_representative,portfolio,date,location,subject(s)-edited,lobbyist,health_meeting_or_lab,,,
77,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska;Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",27/10/2016,Brussels,Radio-Equipment Directive,DIGITALEUROPE (DE),FALSE,,,
78,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,27/09/2016,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
79,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,20/09/2016,Brussels,"Data, privacy, copyright",DIGITALEUROPE (DE),FALSE,,,
80,"Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska;Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",16/09/2016,Brussels,digital trade,DIGITALEUROPE (DE),FALSE,,,
81,"Nele Eichhorn, Cabinet member of Cecilia Malmström",Trade,12/09/2016,Brussels,digital trade,DIGITALEUROPE (DE),FALSE,,,
82,"Günther Oettinger, Commissioner",Digital Economy and Society,8/09/2016,Brussels,Dual use,DIGITALEUROPE (DE),FALSE,,,
83,"Günther Oettinger, Commissioner",Digital Economy and Society,5/09/2016,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
84,"Kilian Gross, Cabinet member of Günther Oettinger",Digital Economy and Society,28/07/2016,Brussels,trade policy,DIGITALEUROPE (DE),FALSE,,,
85,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,14/07/2016,Brussels,"publishers rights, text and data mining, free flow of data",DIGITALEUROPE (DE),FALSE,,,
86,"Roberto Viola, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",1/07/2016,Brussels,Digitising Industry initiative,DIGITALEUROPE (DE),FALSE,,,
87,"Andrus Ansip, Vice-President;Vivian Loonela, Cabinet member of Andrus Ansip;Juhan Lepassaar, Cabinet member of Andrus Ansip",Digital Single Market,30/06/2016,Brussels,"Privacy shield, data protection",DIGITALEUROPE (DE),FALSE,,,
88,"Anna Herold, Cabinet member of Günther Oettinger",Digital Economy and Society,22/06/2016,BXL,platforms,DIGITALEUROPE (DE),FALSE,,,
89,"Kamila Kloc, Cabinet member of Andrus Ansip",Digital Single Market,16/06/2016,Brussels,"Telco review, investment in networks, spectrum",DIGITALEUROPE (DE),FALSE,,,
90,"Szabolcs Horvath, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",14/06/2016,Brussels,Digital Single Market,DIGITALEUROPE (DE),FALSE,,,
91,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,13/06/2016,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
92,"Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska;Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",3/05/2016,Brussels,Memorandum of Understanding,DIGITALEUROPE (DE),FALSE,,,
93,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,3/05/2016,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
94,"Kamila Kloc, Cabinet member of Andrus Ansip",Digital Single Market,27/04/2016,Brussels,Spectrum: 700MHz,DIGITALEUROPE (DE),FALSE,,,
95,"Lucie Mattera, Cabinet member of Pierre Moscovici","Economic and Financial Affairs, Taxation and Customs",27/04/2016,Brussels,copyright issues and indirect taxation,DIGITALEUROPE (DE),FALSE,,,
96,"Anna Herold, Cabinet member of Günther Oettinger",Digital Economy and Society,13/04/2016,BXL,copyright,DIGITALEUROPE (DE),FALSE,,,
97,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,8/04/2016,Brussels,"platforms, DSM",DIGITALEUROPE (DE),FALSE,,,
98,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,14/03/2016,Brussels,"DSM, cloud, data flows, platforms, skills",DIGITALEUROPE (DE),FALSE,,,
99,"Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",10/03/2016,"Brussels, Belgium",Working group on Digital issues – on copyright levies,DIGITALEUROPE (DE),FALSE,,,
100,"Szabolcs Horvath, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",4/03/2016,Brussels,Digital Single Market,DIGITALEUROPE (DE),FALSE,,,
101,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,23/02/2016,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
102,"Kilian Gross, Cabinet member of Günther Oettinger",Digital Economy and Society,18/02/2016,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
103,"Anna Herold, Cabinet member of Günther Oettinger",Digital Economy and Society,17/02/2016,BXL,copyright,DIGITALEUROPE (DE),FALSE,,,
104,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,16/02/2016,Brussels,"DSM, copyright",DIGITALEUROPE (DE),FALSE,,,
105,"Andrus Ansip, Vice-President;Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,11/02/2016,Brussels,Next steps under DSM - discussion with Digital Advisory Council,DIGITALEUROPE (DE),FALSE,,,
106,"Eduard Hulicius, Cabinet member of Věra Jourová;Simona Constantin, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",11/02/2016,"Brussels, Belgium","DSM agenda – online platforms, geoblocking and digital contracts",DIGITALEUROPE (DE),FALSE,,,
107,"Günther Oettinger, Commissioner",Digital Economy and Society,11/02/2016,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
108,"Vivian Loonela, Cabinet member of Andrus Ansip;Laure Chapuis-Kombos, Cabinet member of Andrus Ansip;Andrus Ansip, Vice-President",Digital Single Market,8/02/2016,Brussels,EU-US Privacy Shield,DIGITALEUROPE (DE),FALSE,,,
109,"Nele Eichhorn, Cabinet member of Cecilia Malmström;Maria Asenius, Cabinet member of Cecilia Malmström",Trade,29/01/2016,Brussels,Safe Harbour,DIGITALEUROPE (DE),FALSE,,,
110,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,29/01/2016,Brussels,data protection,DIGITALEUROPE (DE),FALSE,,,
111,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,21/01/2016,Brussels,Copyright,DIGITALEUROPE (DE),FALSE,,,
112,"Anna Herold, Cabinet member of Günther Oettinger",Digital Economy and Society,18/01/2016,BXL,copyright,DIGITALEUROPE (DE),FALSE,,,
113,"Bernardus Smulders, Cabinet member of Frans Timmermans","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights",14/01/2016,Brussels,AECA Round-Table on “Dealing with Regulatory Burden,DIGITALEUROPE (DE),FALSE,,,
114,"Roberto Viola, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",14/01/2016,Brussels,Telecom review - I4.0 - DSM - EU cloud,DIGITALEUROPE (DE),FALSE,,,
115,"Kevin O'Connell, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",11/12/2015,"Brussels, Belgium",GDPR,DIGITALEUROPE (DE),FALSE,,,
116,"Maria Asenius, Cabinet member of Cecilia Malmström",Trade,8/12/2015,Brussels,Safe harbour / cross border data flows,DIGITALEUROPE (DE),FALSE,,,
117,"Bodo Lehmann, Cabinet member of Günther Oettinger",Digital Economy and Society,1/12/2015,Bruxelles,Safe Harbour,DIGITALEUROPE (DE),FALSE,,,
118,"Lowri Evans, Director-General","Director-General of Internal Market, Industry, Entrepreneurship and SMEs(GROW)",24/11/2015,Brussels,"Digital single market, Single market strategy",DIGITALEUROPE (DE),FALSE,,,
119,"Günther Oettinger, Commissioner",Digital Economy and Society,20/11/2015,Madrid,Digital transformation of the European industry,DIGITALEUROPE (DE),FALSE,,,
120,"Stig Joergen Gren, Cabinet member of Andrus Ansip;Laure Chapuis-Kombos, Cabinet member of Andrus Ansip;Andrus Ansip, Vice-President",Digital Single Market,26/10/2015,Brussels,"Digital Single Market, Data economy, Safe Harbour",DIGITALEUROPE (DE),FALSE,,,
121,"Juhan Lepassaar, Cabinet member of Andrus Ansip;Andrus Ansip, Vice-President;Laure Chapuis-Kombos, Cabinet member of Andrus Ansip",Digital Single Market,14/10/2015,Brussels,Meeting with tech businesses after Safe Harbour ruling,DIGITALEUROPE (DE),FALSE,,,
122,"Anna Herold, Cabinet member of Günther Oettinger",Digital Economy and Society,13/10/2015,BXL,copyright,DIGITALEUROPE (DE),FALSE,,,
123,"Bernd Martenczuk, Cabinet member of Frans Timmermans","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights",23/09/2015,Berlaymont,Digital Trade,DIGITALEUROPE (DE),FALSE,,,
124,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,22/09/2015,Brussels,copyright,DIGITALEUROPE (DE),FALSE,,,
125,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,15/09/2015,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
126,"Kamila Kloc, Cabinet member of Andrus Ansip",Digital Single Market,8/09/2015,Brussels,"geo-blocking, platforms, telco review",DIGITALEUROPE (DE),FALSE,,,
127,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,31/08/2015,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
128,"Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",14/08/2015,"Brussels, Belgium",Digital Trade,DIGITALEUROPE (DE),FALSE,,,
129,"Robert Madelin, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",27/07/2015,Brussels,DSM and Innovation,DIGITALEUROPE (DE),FALSE,,,
130,"Nele Eichhorn, Cabinet member of Cecilia Malmström",Trade,15/07/2015,Brussels,Digital trade,DIGITALEUROPE (DE),FALSE,,,
131,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,14/07/2015,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
132,"Markus Schulte, Cabinet member of Günther Oettinger",Digital Economy and Society,13/07/2015,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
133,"Maria Asenius, Cabinet member of Cecilia Malmström;Nele Eichhorn, Cabinet member of Cecilia Malmström",Trade,24/06/2015,Brussels,TTIP negotiations,DIGITALEUROPE (DE),FALSE,,,
134,"Anna Herold, Cabinet member of Günther Oettinger",Digital Economy and Society,23/06/2015,BERL,DSM,DIGITALEUROPE (DE),FALSE,,,
135,"Günther Oettinger, Commissioner",Digital Economy and Society,22/06/2015,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
136,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",9/06/2015,Brussels,"Internal Market, Single Market for goods, standardisation, competitiveness",DIGITALEUROPE (DE),FALSE,,,
137,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,3/06/2015,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
138,"Maria Asenius, Cabinet member of Cecilia Malmström;Nele Eichhorn, Cabinet member of Cecilia Malmström",Trade,2/06/2015,Brussels,DSM & TTIP,DIGITALEUROPE (DE),FALSE,,,
139,"Keith Sequeira, Cabinet member of Carlos Moedas;Alfredo Sousa De Jesus, Cabinet member of Carlos Moedas","Research, Science and Innovation",18/05/2015,Brussels,Digital Single Market - Research and Innovation aspects,DIGITALEUROPE (DE),FALSE,,,
140,"Robert Madelin, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",24/04/2015,Brussels,Digital Single Market,DIGITALEUROPE (DE),FALSE,,,
141,"Anna Herold, Cabinet member of Günther Oettinger",Digital Economy and Society,16/04/2015,BERL,copyright,DIGITALEUROPE (DE),FALSE,,,
142,"Manuel Szapiro, Cabinet member of Maroš Šefčovič",Energy Union,23/03/2015,"Brussels, BE",Energy Union follow up: digital agenda and energy efficiency,DIGITALEUROPE (DE),FALSE,,,
143,"Cécile Billaux, Cabinet member of Cecilia Malmström",Trade,16/03/2015,Brussels,Conflict minerals,DIGITALEUROPE (DE),FALSE,,,
144,"Cécile Billaux, Cabinet member of Cecilia Malmström",Trade,16/03/2015,Brussels,Conflict minerals,DIGITALEUROPE (DE),FALSE,,,
145,"Daniel Calleja Crespo, Director-General","Director-General of Internal Market, Industry, Entrepreneurship and SMEs(GROW)",16/03/2015,Brussels,Digitalisation and interoperability of charges for mobile electronic devices,DIGITALEUROPE (DE),FALSE,,,
146,"Günther Oettinger, Commissioner",Digital Economy and Society,13/03/2015,Brussels,DSM,DIGITALEUROPE (DE),FALSE,,,
147,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,12/03/2015,Brussels,Digital Single Market,DIGITALEUROPE (DE),FALSE,,,
148,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,20/01/2015,Brussels,Digital Agenda,DIGITALEUROPE (DE),FALSE,,,
149,"Edward Bannerman, Cabinet member of Jyrki Katainen;Heidi Jern, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",14/01/2015,Brussels,ICT and digital industries,DIGITALEUROPE (DE),FALSE,,,
151,"Nele Eichhorn, Cabinet member of Cecilia Malmström;Jon Nyman, Cabinet member of Cecilia Malmström",Trade,15/12/2014,Brussels,Trade aspects of the Digital Agenda,DIGITALEUROPE (DE),FALSE,,,
152,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,4/12/2014,Brussels,Digital Economy,DIGITALEUROPE (DE),FALSE,,,
1,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",21/03/2017,Brussels,Reach evaluation,Downstream Users of Chemicals Co-ordination Group (DUCC),FALSE,,,
2,"Peter van Kemseke, Cabinet member of Maroš Šefčovič",Energy Union,14/07/2015,Brussels,Industrial initiatives in the field of energy efficiency. Case: Zeeland.,Downstream Users of Chemicals Co-ordination Group (DUCC),FALSE,,,
1,"Daniel Mes, Cabinet member of Frans Timmermans",European Green Deal,7/05/2020,Brussels - videoconference,Speaker at panel on recovery prospects in transport,Dr2 Consultants,FALSE,,,
2,"Carl-Christian Buhr, Cabinet member of Mariya Gabriel",Digital Economy and Society,26/09/2019,Brussels,Artificial Intelligence,Dr2 Consultants,FALSE,,,
1,"Gaëlle Michelier, Cabinet member of Adina Vălean",Transport,25/11/2020,Conference call,Follow up meeting to discuss latest developments in the sector.,"ECTAA, Group of National Travel Agents' and Tour Operators' Associations within the EU (ECTAA)",FALSE,,,
2,"Geneviève Tuts, Cabinet member of Didier Reynders;Isabelle Perignon, Cabinet member of Didier Reynders;Didier Reynders, Commissioner",Justice,15/04/2020,videoconference,impact of COVID- 19 on the sector,"ECTAA, Group of National Travel Agents' and Tour Operators' Associations within the EU (ECTAA)",TRUE,,,
3,"Gaelle Garnier, Cabinet member of Thierry Breton;Valere Moutarlier, Cabinet member of Thierry Breton",Internal Market,7/04/2020,Video Conference,Impact of Covid- 19 crises on Tourism,"ECTAA, Group of National Travel Agents' and Tour Operators' Associations within the EU (ECTAA)",TRUE,,,
4,"Isabelle Perignon, Cabinet member of Didier Reynders",Justice,7/04/2020,video-conferencing,impact COVID-19 on consumers,"ECTAA, Group of National Travel Agents' and Tour Operators' Associations within the EU (ECTAA)",TRUE,,,
5,"Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",10/03/2019,"Brussels, Belgium",Representative actions and Package travel,"ECTAA, Group of National Travel Agents' and Tour Operators' Associations within the EU (ECTAA)",FALSE,,,
6,"Blaz Pongracic, Cabinet member of Violeta Bulc",Transport,22/01/2018,Brussels,Meeting with Mr DE BLUST and Ms Ewa GRABIAK,"ECTAA, Group of National Travel Agents' and Tour Operators' Associations within the EU (ECTAA)",FALSE,,,
7,"Henrik Hololei, Director-General",Director-General of Mobility and Transport(MOVE),13/09/2016,"Brussels, Belgium","Common rules for the operation of air services, Computerised Reservation System","ECTAA, Group of National Travel Agents' and Tour Operators' Associations within the EU (ECTAA)",FALSE,,,
8,"Elżbieta Bieńkowska, Commissioner","Internal Market, Industry, Entrepreneurship and SMEs",22/04/2015,Brussels,Meeting with representatives of ECTAA (Group of European Travel Agents’ and Tour Operators’ Associations within the EU),"ECTAA, Group of National Travel Agents' and Tour Operators' Associations within the EU (ECTAA)",FALSE,,,
9,"Paraskevi Michou, Director-General",Acting Director-General of Justice and Consumers (JUST),27/03/2015,Bruxelles,Package travel Directive,"ECTAA, Group of National Travel Agents' and Tour Operators' Associations within the EU (ECTAA)",FALSE,,,
1,"Helena Braun, Cabinet member of Frans Timmermans",European Green Deal,18/02/2021,video-call,Implementation of the rules on single-use plastics,EDANA AISBL (EDANA),FALSE,,,
2,"Vasco Ferreira, Cabinet member of Mariya Gabriel",Innovation and Youth,18/03/2020,Video conference,Innovation and the single-use plastic products directive,EDANA AISBL (EDANA),FALSE,,,
3,"Jorge Pinto Antunes, Cabinet member of Janusz Wojciechowski",Agriculture,20/02/2020,Brussels,EU forest strategy and boosting research spending in innovative bio- based materials; exchange of views on the industry’s contribution and on the industry’s approach.,EDANA AISBL (EDANA),FALSE,,,
1,"Phil Hogan, Commissioner","Financial services, financial stability and Capital Markets Union",5/05/2020,Video Conference,Panel Discussion,Edelman Public Relations Worldwide,FALSE,,,
2,"Phil Hogan, Commissioner","Financial services, financial stability and Capital Markets Union",23/04/2020,Video Conference,Trade issues,Edelman Public Relations Worldwide,FALSE,,,
3,"Joshua Salsby, Cabinet member of Violeta Bulc",Transport,22/11/2018,Brussels,"Meeting with Mr Christian Haenen, Government Affairs Executive for GE Aviation",Edelman Public Relations Worldwide,FALSE,,,
4,"Filomena Chirico, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",3/04/2018,Brussels,European Defence Industrial Development Plan (EDIDP),Edelman Public Relations Worldwide,FALSE,,,
5,"Tomasz Husak, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",20/04/2017,Brussels,"partnering with European universities, young talents for the aeronautical industry",Edelman Public Relations Worldwide,FALSE,,,
6,"Tomasz Husak, Cabinet member of Elżbieta Bieńkowska;Fabrice Comptour, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",15/12/2016,Brussels,aviation,Edelman Public Relations Worldwide,FALSE,,,
7,"Henrik Hololei, Director-General",Director-General of Mobility and Transport(MOVE),15/12/2016,"Brussels, Belgium","Aviation Strategy, Aviation Safety Regulation, GMBM",Edelman Public Relations Worldwide,FALSE,,,
8,"Juho Romakkaniemi, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",8/12/2016,Brussels,Investments and trade,Edelman Public Relations Worldwide,FALSE,,,
9,"Annika Nowak, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,9/11/2016,Brussels,HTA,Edelman Public Relations Worldwide,FALSE,,,
10,"Marco Valletta, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,9/11/2016,Brussels,Food waste,Edelman Public Relations Worldwide,FALSE,,,
11,"Annika Nowak, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,20/10/2016,Brussels,HTA,Edelman Public Relations Worldwide,FALSE,,,
12,"Yvon Slingenberg, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,19/09/2016,Brussels,EU policy on Aviation; innovation outlook,Edelman Public Relations Worldwide,FALSE,,,
13,"Aurore Maillet, Cabinet member of Karmenu Vella","Environment, Maritime Affairs and Fisheries",12/09/2016,Brussels,Biomass,Edelman Public Relations Worldwide,FALSE,,,
14,"Robert Schröder, Cabinet member of Carlos Moedas","Research, Science and Innovation",29/06/2016,Brussels,Promoting cost- effectiveness and sustainability of health systems across EU Member States,Edelman Public Relations Worldwide,TRUE,,,
15,"Tomas Nejdl, Cabinet member of Corina Crețu;Jan Mikolaj Dzieciolowski, Cabinet member of Corina Crețu",Regional Policy,26/05/2016,Brussels,Health Services,Edelman Public Relations Worldwide,TRUE,,,
16,"Denzil Davidson, Cabinet member of Jonathan Hill","Financial Stability, Financial Services and Capital Markets Union",3/03/2016,Brussels,Green Paper on Retail Financial Services,Edelman Public Relations Worldwide,FALSE,,,
17,"Shane Sutherland, Cabinet member of Phil Hogan",Agriculture & Rural Development,24/02/2016,Brussels,Forestry & Biomass,Edelman Public Relations Worldwide,FALSE,,,
18,"Laure Chapuis-Kombos, Cabinet member of Andrus Ansip",Digital Single Market,23/09/2015,Brussels,"EU Privacy reform, EU civil justice systems",Edelman Public Relations Worldwide,FALSE,,,
19,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,4/02/2015,Brussels,Data protection,Edelman Public Relations Worldwide,FALSE,,,
20,"Pierre Schellekens, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,12/01/2015,"Brussels, Belgium",Food security and biodiversity,Edelman Public Relations Worldwide,FALSE,,,
1,"Themis Christophidou, Director-General","Director-General of Education, Youth, Sport and Culture(EAC)",11/10/2018,Brussels,Meeting with CEO,EIT Food ivzw (EIT Food),FALSE,,,
1,"Vangelis Demiris, Cabinet member of Margaritis Schinas",Promoting the European Way of Life,27/01/2020,Brussels,"Article 17 dialogue with churches, religious and philosophical organisations",EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
2,"Günther Oettinger, Commissioner",Budget & Human Resources,10/09/2019,Brussels,Future of Europe,EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
3,"Günther Oettinger, Commissioner",Budget & Human Resources,2/05/2019,Brussels,Future of Europe,EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
4,"Martin Selmayr, Director-General",Secretary-General of Secretariat- General(SG),22/05/2018,"Brussels, Belgium","Future of Europe, MFF, Art.17 dialogue, Brexit",EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
5,"Christiane Canenbley, Cabinet member of Jean-Claude Juncker",President,22/05/2018,"Brussels, Belgium","The future of the European Union, MFF, Art. 17 dialogue, Brexit",EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
6,"Günther Oettinger, Commissioner",Budget & Human Resources,6/06/2017,Brussels,Presentation of RNE,EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
7,"Günther Oettinger, Commissioner",Budget & Human Resources,22/03/2017,Brussels,Herausforderungen /Zukunft EU,EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
8,"Günther Oettinger, Commissioner",Budget & Human Resources,7/03/2017,Brussels,migration,EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
9,"Pauline Rouch, Cabinet member of Jean-Claude Juncker",President,8/12/2016,Brussels,Education & Culture,EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
10,"Markus Schulte, Cabinet member of Günther Oettinger",Digital Economy and Society,8/09/2016,Brussels,DSM,EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
11,"Martin Selmayr, Cabinet member of Jean-Claude Juncker",President,15/01/2016,"Brussels, Belgium","Religion and the current constitution of the EU, the refugee crisis",EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
12,"Alfred Matthias Ruete, Director-General",Director-General of Migration and Home Affairs (HOME),2/03/2015,"Brussels, Belgium","Overview of Asylum and Migration Issues, Questions on DG HOME Funding (AMIF)",EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
13,"Martin Selmayr, Cabinet member of Jean-Claude Juncker",President,20/01/2015,"Brussels, Belgium",The dialogue between Churches and the EU,EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
14,"Günther Oettinger, Commissioner",Digital Economy and Society,2/12/2014,Brussels,Courtesy call,EKD-Büro Brüssel - EKD-Office Brussels (EKD),FALSE,,,
1,"Helena Dalli, Commissioner",Equality,6/02/2020,"Brussels, Belgium",Ending female gential mutilation,End Female Genital Mutilation - European Network (End FGM EU),FALSE,,,
2,"Lesia Radelicki, Cabinet member of Helena Dalli",Equality,16/01/2020,Brussels,"Ending female genital mutilation, prepatory meeting for Commissioners meeting in February",End Female Genital Mutilation - European Network (End FGM EU),FALSE,,,
3,"Irena Andrassy, Cabinet member of Neven Mimica;Maria-Myrto Kanellopoulou, Cabinet member of Neven Mimica",International Cooperation & Development,25/07/2018,Brussels,Introductory meeting to discuss opportunities for future cooperation,End Female Genital Mutilation - European Network (End FGM EU),FALSE,,,
1,"Joan Canton, Cabinet member of Thierry Breton",Internal Market,15/01/2021,"Brussels, Belgium",Chemicals,Environmental Resources Management (ERM),FALSE,,,
2,"Joan Canton, Cabinet member of Thierry Breton",Internal Market,15/01/2021,Videoconference,Chemicals,Environmental Resources Management (ERM),FALSE,,,
3,"Deirdre O’Hea, Cabinet member of Mairead McGuinness","Financial services, financial stability and Capital Markets Union",13/01/2021,Virtual,EU regulatory framework for authorisation of substances,Environmental Resources Management (ERM),FALSE,,,
4,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",14/01/2019,BERL,Listing of ADCA in Annex XIV of Reach,Environmental Resources Management (ERM),FALSE,,,
5,"Grzegorz Radziejewski, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",14/01/2019,Berlaymont,Listing ADCA,Environmental Resources Management (ERM),FALSE,,,
6,"Sebastien Paquot, Cabinet member of Karmenu Vella","Environment, Maritime Affairs and Fisheries",14/01/2019,Brussels,listing of ADCA in Annex XIV of REACH,Environmental Resources Management (ERM),FALSE,,,
1,"Michele Piergiovanni, Cabinet member of Margrethe Vestager;Alejandro Cainzos, Cabinet member of Margrethe Vestager",Europe Fit for Digital Age,9/08/2020,"Brussels, Belgium",To discuss security markets,EPPA SA,FALSE,,,
2,"Carl-Christian Buhr, Cabinet member of Mariya Gabriel",Digital Economy and Society,3/04/2018,Brussels,Meeting with Mr S. Schepers who was representing the High Level Group on Innovation Policy Management - The work of the independent tripartite HLG on Innovation Policy Management (HLG) in particular the reduction of the innovation gap between old and new Member States,EPPA SA,FALSE,,,
3,"Marika Lautso-Mousnier, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",2/03/2018,Brussels,Crop protection industry and the Regulation 1107 /2009 on the approval of active substances in the field of crop protection,EPPA SA,FALSE,,,
4,"Nathalie Chaze, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,5/07/2017,Brussels,Approval of pesticides,EPPA SA,FALSE,,,
5,"Dermot Ryan, Cabinet member of Phil Hogan",Agriculture & Rural Development,23/11/2016,"Brussels, BERL 089/318",• introduce the company to you but also to discuss the regulatory framework of plant protection products and more broadly the role of these products in sustainable agriculture in the EU while ensuring a high level of protection of human and Animal Healt and the environment,EPPA SA,FALSE,,,
6,"Tom Tynan, Cabinet member of Phil Hogan",Agriculture & Rural Development,12/10/2016,Brussels,Fertilisers,EPPA SA,FALSE,,,
7,"Tom Tynan, Cabinet member of Phil Hogan",Agriculture & Rural Development,12/10/2016,Brussels,Business discussion,EPPA SA,FALSE,,,
8,"Nathalie Chaze, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,6/07/2016,Brussels,"Plant protection products, Biocides regulations",EPPA SA,FALSE,,,
9,"Tom Tynan, Cabinet member of Phil Hogan",Agriculture & Rural Development,16/11/2015,Brussels,Business discussion,EPPA SA,FALSE,,,
10,"Nathalie Chaze, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,16/09/2015,Brussels,"Health, competitiveness and better regulation",EPPA SA,TRUE,,,
11,"Patricia Reilly, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",18/06/2015,Brussels,Innovation policy,EPPA SA,FALSE,,,
